
################################################
 
Database Restarts: 2021-08-13 22:04:39 
 
################################################
 
Summarizing Stats:  operation 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
neo4j.db.operation.count.create_Max                          2           2           2           2           2
neo4j.db.operation.count.drop_Max                            0           0           0           0           0
neo4j.db.operation.count.failed_Max                          0           0           0           0           0
neo4j.db.operation.count.recovered_Max                       0           0           0           0           0
neo4j.db.operation.count.start_Max                           2           2           2           2           2
neo4j.db.operation.count.stop_Max                            0           0           0           0           0


################################################
 
Summarizing Stats:  count 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
neo4j.neo4j.neo4j.count.node_Max                        116386      116400      111551      117600      122796
neo4j.neo4j.neo4j.count.relationship_Max                171218      171233      162647      172685      180518


################################################
 
Summarizing Stats:  store(MB) 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
neo4j.neo4j.store.size.database_Max                      1,073       1,073       1,073       1,073       1,073
neo4j.neo4j.store.size.total_Max                         5,325       2,825       2,825       2,588      10,575


################################################
 
Summarizing Stats:  object 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
neo4j.ids_in_use.node_Sum                                    0           0           0           0           0
neo4j.ids_in_use.node-ps_Avg                                 0           0           0           0           0
neo4j.ids_in_use.node-ps_Max                                 0           0           0           0           0
neo4j.ids_in_use.property_Sum                                0           0           0           0           0
neo4j.ids_in_use.property-ps_Avg                             0           0           0           0           0
neo4j.ids_in_use.property-ps_Max                             0           0           0           0           0
neo4j.ids_in_use.relationship_Sum                            0           0           0           0           0
neo4j.ids_in_use.relationship-ps_Avg                         0           0           0           0           0
neo4j.ids_in_use.relationship-ps_Max                         0           0           0           0           0
neo4j.ids_in_use.relationship_type_Sum                       0           0           0           0           0
neo4j.ids_in_use.relationship_type-ps_Avg                    0           0           0           0           0
neo4j.ids_in_use.relationship_type-ps_Max                    0           0           0           0           0


################################################
 
Summarizing Stats:  transaction 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
tx.peak_concurrent_Avg                                      73          73          73          73          73
tx.peak_concurrent_Max                                      73          73          73          73          73
tx.started_Sum                                         598,426   3,483,560   2,761,360   2,968,993  16,270,118
tx.started-ps_Avg                                           33          40          32          34         239
tx.started-ps_Max                                           46       1,953         117       2,050         795
tx.committed_Sum                                       468,117   2,611,643   2,146,232   2,198,820  15,425,840
tx.committed-ps_Avg                                         26          30          25          25         227
tx.committed-ps_Max                                         39       1,115          66       1,092         665
tx.committed_read_Sum                                  150,597     826,988     642,265     674,688   4,660,455
tx.committed_read-ps_Avg                                     8          10           7           8          68
tx.committed_read-ps_Max                                    16         525          30         526         251
tx.committed_write_Sum                                 317,520   1,784,655   1,503,967   1,524,132  10,765,385
tx.committed_write-ps_Avg                                   17          21          17          18         158
tx.committed_write-ps_Max                                   22         705          36         806         415
tx.rollbacks_Sum                                       130,309     871,917     615,128     770,171     844,280
tx.rollbacks-ps_Avg                                          7          10           7           9          12
tx.rollbacks-ps_Max                                          7         909          51         971         136
tx.rollbacks_read_Sum                                    8,415     285,491      38,000     372,958      95,120
tx.rollbacks_read-ps_Avg                                     0           3           0           4           1
tx.rollbacks_read-ps_Max                                     1         895          44         958         122
tx.rollbacks_write_Sum                                 121,894     586,426     577,128     397,213     749,160
tx.rollbacks_write-ps_Avg                                    7           7           7           5          11
tx.rollbacks_write-ps_Max                                    7          45          11          47          41
tx.terminated_Sum                                            0           0           0           0           0
tx.terminated-ps_Avg                                         0           0           0           0           0
tx.terminated-ps_Max                                         0           0           0           0           0
tx.terminated_read_Sum                                       0           0           0           0           0
tx.terminated_read-ps_Avg                                    0           0           0           0           0
tx.terminated_read-ps_Max                                    0           0           0           0           0
tx.terminated_write_Sum                                      0           0           0           0           0
tx.terminated_write-ps_Avg                                   0           0           0           0           0
tx.terminated_write-ps_Max                                   0           0           0           0           0


################################################
 
Summarizing Stats:  bolt 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
blt.accumulated_processing_time_Sum                  3,949,398  34,004,549  18,435,163  30,288,034 119,891,313
blt.accumulated_processing_time_Avg                         69          97          69          98          79
blt.accumulated_processing_time_Max                        133       8,328         399      10,174         307
blt.accumulated_queue_time_Sum                         308,542   1,994,418   1,399,669   1,639,127   6,756,631
blt.accumulated_queue_time_Avg                               5           6           5           5           4
